x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,63.522222222222226,19.933333333333334,70.45555555555556,19.03333333333333
4,254.71111111111117,76.87777777777778,276.9666666666667,78.54444444444444
16,1009.8211111111112,286.31277777777785,1093.611111111111,281.73333333333335
64,1901.3222222222223,516.0999999999999,1984.5555555555557,494.44444444444457
256,1852.1777777777772,557.0777777777778,1987.5333333333333,489.6777777777777
1024,1817.7333333333338,569.7777777777777,1949.5,505.9777777777778
4096,1666.366666666667,655.4333333333333,1893.1555555555558,535.4000000000001
16384,1598.4555555555557,632.2222222222222,809.9473684210527,223.03157894736844
32768,1522.7263157894736,604.7684210526317,809.2105263157896,222.66315789473686
0,0.0,0.0,0.0,0.0
