x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45914.996,23143.096,44486.424,23181.776
4,45939.584,23517.112,44486.424,23597.008
16,46013.348,24008.888,44486.424,24160.976
64,46382.168,24201.912,44486.424,24416.72
256,47808.272,24246.456,44607.168,24483.792
1024,52529.304,24295.352,45399.744,24534.468
4096,52531.252,24619.192,48837.644,25718.256
16384,52611.008,25847.324,64880.468,30651.42
32768,52744.956,27519.004,86600.652,37198.316
0,0.0,0.0,0.0,0.0
