x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,46260.176,9317.376,29260.564,4567.396
4,46342.136,14587.648,29594.436,10669.412
16,46727.348,21234.432,30925.796,19669.86
64,47112.56,24088.064,36517.508,23540.836
256,49751.672,24347.612,44350.112,24136.184
1024,52480.94,24395.06,44334.728,24346.9
4096,52538.908,24563.212,44990.412,25305.94
16384,52600.436,25190.812,46990.436,29022.452
32768,52597.284,26364.528,85055.08,34565.56
65536,52752.944,28126.848,0.0,0.0
