x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,76.66666666666666,11.188888888888888,77.92222222222223,12.71111111111111
4,304.3888888888889,42.74444444444444,306.65555555555557,52.011111111111106
16,1204.8555555555554,156.5333333333333,1233.6222222222223,164.4777777777778
64,2384.2888888888892,287.8666666666667,2388.2333333333327,304.5444444444445
256,2346.7222222222226,310.44444444444446,2398.9999999999995,273.8666666666667
1024,2309.0444444444443,319.6555555555555,2356.866666666667,295.0777777777778
4096,2202.7111111111108,377.6222222222222,2301.133333333333,312.7777777777778
16384,2100.5605555555553,370.6044444444444,1205.2842105263157,233.0736842105263
32768,2009.4947368421053,358.6631578947369,1196.3052631578948,230.98947368421048
0,2012.5215384615383,362.175641025641,0.0,0.0
0,0.0,0.0,0.0,0.0
