x,thread pool hybrid (sysbench crashed at 98304 clients),connection per thread (sysbench crashed at 65536 clients)
1,7046.146461571282,6638.666759999689
4,28101.512656582287,26410.50569606681
16,85250.96164743371,80628.45339931712
64,134981.11253816378,126814.49269887687
256,127009.96585483974,119401.60858027962
1024,118981.47562538489,112300.3419634159
4096,111900.78874110733,109134.58268370353
16384,107600.30483072017,41893.88771458721
32768,103417.28114774724,41759.10651973671
0,209665.43909304,0.0
0,0.0,0.0
