x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45915.04,23568.076,44477.256,23761.888
4,45939.628,23846.84,44477.256,24047.328
16,46013.392,24186.04,44477.256,24401.376
64,46382.212,24269.752,44477.256,24477.664
256,47808.316,24296.632,44598.0,24522.208
1024,52529.212,24345.528,45390.576,24565.672
4096,52531.748,24777.4,48959.996,25878.716
16384,52537.956,26407.416,64931.74,31183.844
32768,52810.536,28423.988,86781.268,38110.08
0,52890.956,30189.312,0.0,0.0
0,0.0,0.0,0.0,0.0
