x,thread pool hybrid (sysbench crashed at 98304 clients),connection per thread (sysbench crashed at 65536 clients)
1,7817.976364549491,7286.867613921716
4,30831.849085618225,29490.537295821036
16,96562.4576397361,90814.1605899431
64,153129.25940986548,144480.8442038204
256,145203.51401005464,137495.40697429018
1024,136754.13230476968,128641.47258868042
4096,128881.0755460411,121991.85600498179
16384,123467.52024795675,44184.41648961175
32768,121535.53742949665,43748.26656103275
0,240038.653874703,0.0
0,0.0,0.0
