x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45914.7,23620.064,44411.74,23863.896
4,45939.288,23858.656,44411.74,24114.52
16,46013.052,24177.628,44411.74,24405.848
64,46381.872,24269.276,44411.74,24474.2
256,47807.976,24282.844,44532.484,24525.656
1024,52528.872,24338.14,45325.06,24577.796
4096,52530.908,24666.588,48959.788,25902.812
16384,52734.392,26154.172,64814.816,31089.556
32768,52807.16,28221.772,86796.76,38019.412
0,53282.816,30294.036,0.0,0.0
0,0.0,0.0,0.0,0.0
