x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,64.53722222222223,18.36444444444444,67.66666666666667,21.755555555555556
4,246.38888888888889,81.65555555555555,273.47777777777776,79.94444444444444
16,999.4333333333333,293.2888888888889,1090.266666666667,283.01111111111106
64,1900.1666666666667,515.588888888889,1990.744444444444,489.6111111111111
256,1877.7444444444445,544.7111111111112,1997.1999999999998,486.30000000000007
1024,1834.5555555555559,565.5111111111113,1957.7333333333336,503.0888888888888
4096,1676.0555555555554,651.5555555555555,1902.9333333333334,531.9777777777778
16384,1608.6000000000001,628.3111111111112,798.8526315789474,223.8105263157895
32768,1534.8421052631577,603.9157894736842,809.8210526315788,222.09473684210528
0,0.0,0.0,0.0,0.0
