x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45914.904,24249.076,44477.228,24492.58
4,45939.492,24259.316,44477.228,24505.892
16,46013.256,24271.86,44477.228,24521.764
64,46382.076,24282.08,44477.228,24532.516
256,47808.18,24291.296,44597.972,24550.948
1024,52529.076,24323.296,45390.548,24582.948
4096,52530.588,24632.544,48828.14,25757.656
16384,52672.152,25861.824,64926.956,30698.784
32768,53004.032,27592.296,86775.58,37225.04
0,0.0,0.0,0.0,0.0
