x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,17.27777777777778,10.844444444444445,27.607777777777777,13.95388888888889
4,63.099999999999994,38.15555555555555,149.85555555555555,65.80000000000001
16,103.42222222222222,60.57777777777778,763.2555555555556,295.84444444444443
64,266.6,139.72222222222223,1264.1888888888889,644.4222222222221
256,433.3666666666667,223.5,1199.1444444444444,656.3222222222224
1024,438.3511111111111,216.73111111111112,1133.177777777778,635.7333333333333
4096,422.34444444444443,203.37777777777774,1144.4666666666665,612.2222222222222
16384,390.3333333333333,200.8222222222222,1072.9473684210525,519.1578947368421
32768,381.4421052631578,201.43157894736842,1108.1894736842105,498.51578947368415
65536,376.3,206.25000000000006,0.0,0.0
