x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,46341.68,8736.9,45005.084,11898.488
4,46349.876,13541.764,45005.084,18135.16
16,46964.576,19692.676,45005.084,24327.544
64,47784.176,23951.492,45005.084,25328.76
256,52332.956,24265.46,45006.116,25439.092
1024,52529.66,24316.832,45005.084,25469.912
4096,52530.284,24481.66,45006.716,25499.104
16384,48167.316,25098.94,47186.464,29078.496
32768,52572.736,26275.668,81967.416,34635.916
65536,52679.732,28031.4,0.0,0.0
