x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,77.35555555555555,10.7,78.37777777777778,12.444444444444446
4,306.18888888888887,42.111111111111114,307.6888888888889,52.3
16,1208.6,156.54444444444448,1235.9111111111113,165.55555555555554
64,2389.4666666666662,285.4,2375.5666666666666,310.1
256,2354.6111111111113,308.46666666666664,2396.3444444444444,273.76666666666665
1024,2312.945555555556,318.86611111111114,2352.1777777777775,295.33333333333337
4096,2191.7333333333336,389.5333333333333,2298.244444444444,314.6555555555556
16384,2100.0,374.9888888888888,1287.2947368421053,239.96842105263156
32768,2008.1263157894737,356.32631578947365,1199.3736842105263,234.20947368421056
65536,2021.750526315789,356.2342105263159,0.0,0.0
