x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45914.9,23546.324,44411.556,23771.696
4,45939.488,23799.508,44411.556,24069.936
16,46013.252,24133.076,44411.556,24418.608
64,46382.072,24253.652,44411.556,24527.152
256,47808.176,24273.876,44532.3,24556.08
1024,52529.072,24330.964,45324.876,24601.108
4096,52530.572,24693.46,49024.776,25910.004
16384,52668.976,26335.024,65002.468,31214.644
32768,52738.764,28408.244,86851.792,38099.864
65536,53076.52,30517.256,0.0,0.0
