x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45915.024,23653.488,44477.22,23893.136
4,45939.612,23876.204,44477.22,24090.0
16,46013.376,24149.096,44477.22,24401.296
64,46382.196,24216.936,44477.22,24493.456
256,47808.3,24251.24,44597.964,24511.888
1024,52529.196,24305.512,45390.54,24573.564
4096,52531.5,24708.2,48827.796,25885.804
16384,52606.068,26146.952,64598.696,31117.74
32768,52815.152,28387.916,86519.176,38059.472
65536,53085.632,30613.856,0.0,0.0
