x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,46292.068,23027.064,44477.124,22783.32
4,46374.028,23517.048,44477.124,23364.952
16,46390.42,24093.304,44477.124,24212.824
64,47480.488,24233.58,44477.124,24444.76
256,51865.348,24271.808,44482.284,24488.524
1024,52529.224,24297.98,44481.252,24512.644
4096,52530.12,24475.18,44945.312,25353.728
16384,52362.276,25102.456,53508.244,29145.004
32768,52706.756,26294.364,84289.352,34198.532
65536,52452.552,28077.328,0.0,0.0
