x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,enterprise thread pool - max virtual memory mb,enterprise thread pool - max resident memory mb
1,36791.956,9832.72,37557.904,10662.748
4,36808.348,13834.22,37557.904,14501.036
16,36906.7,18200.532,37557.904,18870.1
64,37275.52,22039.652,37557.904,22745.5
256,38226.256,22306.844,37557.904,23117.188
1024,38226.256,22426.304,37688.976,23249.176
4096,38226.256,22960.588,38452.696,24384.36
16384,38324.576,24556.124,42188.248,28616.236
32768,38563.548,26413.82,47104.032,34527.336
65536,39851.62,28484.44,0.0,0.0
