x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,enterprise thread pool - max virtual memory mb,enterprise thread pool - max resident memory mb
1,36791.956,10143.312,37557.86,10944.904
4,36808.348,14433.984,37557.86,15053.68
16,36906.7,18802.34,37557.86,19422.548
64,37275.52,22273.636,37557.86,23019.148
256,38226.256,22384.972,37557.86,23146.504
1024,38234.452,22438.544,37707.508,23253.308
4096,38226.256,22872.048,38391.476,24246.364
16384,38291.792,24237.756,42130.976,28441.916
32768,38566.644,25955.964,47489.644,34113.064
65536,39495.08,28382.688,0.0,0.0
