x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,enterprise thread pool - max virtual memory mb,enterprise thread pool - max resident memory mb
1,36791.956,10271.584,37754.512,11053.868
4,36808.348,14637.616,37754.512,15418.832
16,36906.7,18960.848,37754.512,19747.508
64,37275.52,22275.808,37754.512,23046.916
256,38226.256,22345.844,37754.512,23116.452
1024,38234.452,22455.76,37774.12,23156.448
4096,38226.256,22949.872,38583.768,24184.108
16384,38299.988,24474.092,42212.412,28434.548
32768,38627.604,26302.484,47848.508,34321.932
65536,39765.004,28469.32,0.0,0.0
