x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,enterprise thread pool - avg user cpu,enterprise thread pool - avg system cpu
1,21.255555555555556,10.966666666666667,31.766666666666676,10.699999999999998
4,46.19555555555556,23.008888888888887,88.9222222222222,25.299999999999997
16,127.3111111111111,57.51111111111111,216.24444444444444,59.477777777777774
64,729.1977777777779,234.11277777777775,810.9222222222222,223.65555555555554
256,971.5444444444444,254.80000000000004,970.2555555555557,241.93333333333334
1024,926.4477777777779,245.50055555555556,958.4044444444444,234.72888888888883
4096,872.111111111111,237.2444444444444,920.6999999999999,241.13333333333333
16384,760.0422222222223,233.9705555555555,697.5555555555555,150.58888888888885
32768,724.7552631578947,214.74473684210525,0.0,0.0
65536,684.3554545454546,206.82545454545453,0.0,0.0
